Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,13.680000,13.800000,12.360000,12.720000,12.720000,175000
2018-09-11,12.600000,12.840000,12.480000,12.720000,12.720000,63700
2018-09-12,12.720000,13.080000,12.600000,12.960000,12.960000,64100
2018-09-13,12.960000,13.200000,12.840000,13.080000,13.080000,67400
2018-09-14,13.080000,13.440000,12.600000,12.720000,12.720000,66300
2018-09-17,13.200000,13.200000,12.480000,12.600000,12.600000,68500
2018-09-18,12.960000,12.960000,12.360000,12.840000,12.840000,93500
2018-09-19,12.960000,13.320000,12.720000,12.840000,12.840000,87300
2018-09-20,13.200000,13.440000,12.840000,13.320000,13.320000,118400
2018-09-21,13.320000,13.440000,12.960000,12.960000,12.960000,86600
2018-09-24,13.200000,13.200000,12.720000,12.840000,12.840000,77800
2018-09-25,12.840000,13.680000,12.840000,13.560000,13.560000,122500
2018-09-26,13.560000,13.680000,13.200000,13.200000,13.200000,48800
2018-09-27,13.320000,13.440000,12.720000,13.080000,13.080000,70800
2018-09-28,12.840000,13.200000,12.720000,12.840000,12.840000,74100
2018-10-01,12.840000,13.440000,12.720000,13.200000,13.200000,69400
2018-10-02,13.080000,13.080000,12.720000,12.720000,12.720000,75700
2018-10-03,12.720000,13.200000,12.600000,13.080000,13.080000,57700
2018-10-04,13.080000,13.080000,12.720000,12.840000,12.840000,64700
2018-10-05,12.840000,12.960000,12.360000,12.480000,12.480000,109600
2018-10-08,12.360000,12.720000,12.000000,12.360000,12.360000,40900
2018-10-09,12.360000,12.600000,12.240000,12.480000,12.480000,44500
2018-10-10,12.360000,12.480000,11.760000,11.880000,11.880000,126000
2018-10-11,11.640000,11.760000,11.520000,11.520000,11.520000,73500
2018-10-12,11.640000,11.760000,11.400000,11.520000,11.520000,68200
2018-10-15,11.520000,12.720000,11.520000,12.000000,12.000000,62900
2018-10-16,12.480000,12.480000,11.520000,11.880000,11.880000,82600
2018-10-17,11.640000,12.240000,11.640000,11.880000,11.880000,30400
2018-10-18,11.760000,12.000000,11.400000,11.640000,11.640000,46200
2018-10-19,12.000000,12.000000,11.400000,11.400000,11.400000,54400
2018-10-22,11.520000,11.520000,10.320000,10.560000,10.560000,123400
2018-10-23,10.440000,10.560000,9.600000,9.960000,9.960000,137100
2018-10-24,10.200000,10.200000,9.360000,9.480000,9.480000,100100
2018-10-25,9.360000,10.920000,8.640000,10.440000,10.440000,217900
2018-10-26,10.200000,10.680000,9.600000,10.200000,10.200000,69500
2018-10-29,10.440000,10.560000,9.840000,10.080000,10.080000,26800
2018-10-30,9.720000,10.560000,9.600000,10.560000,10.560000,55100
2018-10-31,10.560000,10.800000,9.960000,10.200000,10.200000,64000
2018-11-01,10.560000,10.800000,10.080000,10.680000,10.680000,78000
2018-11-02,10.680000,10.800000,10.200000,10.440000,10.440000,43500
2018-11-05,10.560000,11.400000,10.440000,10.800000,10.800000,64900
2018-11-06,11.280000,11.400000,10.800000,11.040000,11.040000,43600
2018-11-07,11.160000,11.400000,11.040000,11.280000,11.280000,32400
2018-11-08,11.520000,11.640000,10.800000,10.920000,10.920000,42600
2018-11-09,10.800000,11.160000,10.560000,10.560000,10.560000,26300
2018-11-12,10.560000,10.800000,10.320000,10.440000,10.440000,24500
2018-11-13,10.800000,10.800000,10.200000,10.440000,10.440000,23000
2018-11-14,10.560000,10.800000,10.440000,10.560000,10.560000,32000
2018-11-15,10.440000,10.680000,10.080000,10.560000,10.560000,28000
2018-11-16,10.440000,10.680000,10.200000,10.200000,10.200000,36600
2018-11-19,10.200000,10.560000,9.840000,9.960000,9.960000,43500
2018-11-20,9.720000,9.840000,8.400000,8.520000,8.520000,278800
2018-11-21,8.760000,9.360000,8.760000,9.240000,9.240000,86800
2018-11-23,9.240000,9.360000,8.640000,9.240000,9.240000,50600
2018-11-26,9.240000,9.240000,8.400000,8.400000,8.400000,100600
2018-11-27,8.520000,8.520000,8.040000,8.040000,8.040000,90000
2018-11-28,8.040000,8.280000,7.440000,8.160000,8.160000,144800
2018-11-29,8.400000,8.640000,7.800000,8.520000,8.520000,66800
2018-11-30,8.640000,8.880000,7.920000,8.400000,8.400000,77500
2018-12-03,8.760000,8.880000,7.920000,8.040000,8.040000,78700
2018-12-04,8.040000,8.640000,7.680000,7.680000,7.680000,111600
2018-12-06,7.680000,7.920000,7.200000,7.680000,7.680000,119000
2018-12-07,8.040000,8.040000,7.320000,7.560000,7.560000,91700
2018-12-10,7.680000,7.680000,6.840000,6.960000,6.960000,183200
2018-12-11,7.200000,7.440000,6.960000,7.080000,7.080000,98900
2018-12-12,7.200000,7.320000,6.840000,7.080000,7.080000,78700
2018-12-13,7.080000,7.080000,6.720000,6.720000,6.720000,66900
